DOMAIN,AMOUNT,IDCURRENCY,PLAYER_ID,TIMESTAMP,TIMESTAMP_IU,WEB_MOBILE_CHANNEL
BETBOO_TR,52,TRY      ,14217134,01/01/22 8:47,01/01/22,MOB
BETBOO_TR,450,TRY      ,9384034,01/01/22 8:04,01/01/22,MOB
BETBOO_TR,100,TRY      ,11460225,01/01/22 8:04,01/01/22,MOB
BETBOO_TR,250,TRY      ,14049220,01/01/22 8:50,01/01/22,MOB
BETBOO_TR,100,TRY      ,8348795,01/01/22 8:06,01/01/22,MOB
BETBOO_TR,100,TRY      ,14332425,01/01/22 8:59,01/01/22,MOB
BETBOO_TR,145,TRY      ,13712463,01/01/22 8:54,01/01/22,MOB
BETBOO_TR,50,TRY      ,14263959,01/01/22 4:18,01/01/22,MOB
BETBOO_TR,2000,TRY      ,145856661,01/01/22 4:24,01/01/22,MOB
BETBOO_TR,4000,TRY      ,145856661,01/01/22 4:53,01/01/22,MOB
BETBOO_TR,100,TRY      ,147764311,01/01/22 19:25,01/01/22,MOB
BETBOO_TR,50,TRY      ,14158531,01/01/22 19:59,01/01/22,WEB
BETBOO_TR,100,TRY      ,8323231,01/01/22 19:36,01/01/22,MOB
BETBOO_TR,750,TRY      ,13491200,01/01/22 19:26,01/01/22,MOB
BETBOO_TR,100,TRY      ,8360892,01/01/22 19:26,01/01/22,MOB
BETBOO_TR,100,TRY      ,11283683,01/01/22 19:55,01/01/22,MOB
BETBOO_TR,100,TRY      ,14075286,01/01/22 19:26,01/01/22,MOB
BETBOO_TR,30,TRY      ,14237607,01/01/22 19:15,01/01/22,MOB
BETBOO_TR,25,TRY      ,145103141,01/01/22 19:19,01/01/22,WEB
BETBOO_TR,100,TRY      ,8360892,01/01/22 19:11,01/01/22,MOB
BETBOO_TR,100,TRY      ,10140201,01/01/22 19:48,01/01/22,MOB
BETBOO_TR,34,TRY      ,14261793,01/01/22 19:48,01/01/22,MOB
BETBOO_TR,300,TRY      ,14200849,01/01/22 19:16,01/01/22,MOB
BETBOO_TR,1000,TRY      ,147146871,01/01/22 19:00,01/01/22,MOB
BETBOO_TR,200,TRY      ,13937477,01/01/22 19:58,01/01/22,MOB
BETBOO_TR,250,TRY      ,14153122,01/01/22 19:41,01/01/22,MOB
BETBOO_TR,100,TRY      ,14469090,01/01/22 19:00,01/01/22,MOB
BETBOO_TR,100,TRY      ,14167705,01/01/22 19:41,01/01/22,MOB
BETBOO_TR,750,TRY      ,14154994,01/01/22 19:19,01/01/22,MOB
BETBOO_TR,150,TRY      ,8360892,01/01/22 19:41,01/01/22,MOB
BETBOO_TR,1000,TRY      ,8265111,01/01/22 19:02,01/01/22,MOB
BETBOO_TR,40,TRY      ,14193147,01/01/22 19:46,01/01/22,MOB
BETBOO_TR,110,TRY      ,14370410,01/01/22 19:31,01/01/22,MOB
BETBOO_TR,100,TRY      ,14347019,01/01/22 19:27,01/01/22,MOB
BETBOO_TR,50,TRY      ,13287707,01/01/22 19:58,01/01/22,MOB
BETBOO_TR,50,TRY      ,11344499,01/01/22 19:14,01/01/22,WEB
BETBOO_TR,100,TRY      ,12438385,01/01/22 19:55,01/01/22,MOB
BETBOO_TR,100,TRY      ,9868686,01/01/22 19:06,01/01/22,MOB
BETBOO_TR,50,TRY      ,8935901,01/01/22 19:59,01/01/22,MOB
BETBOO_TR,220,TRY      ,11396222,01/01/22 19:06,01/01/22,WEB
BETBOO_TR,100,TRY      ,12746386,01/01/22 19:17,01/01/22,MOB
BETBOO_TR,300,TRY      ,13186586,01/01/22 19:13,01/01/22,WEB
BETBOO_TR,100,TRY      ,9090386,01/01/22 19:16,01/01/22,WEB
BETBOO_TR,300,TRY      ,11313396,01/01/22 19:59,01/01/22,MOB
BETBOO_TR,120,TRY      ,8352108,01/01/22 19:18,01/01/22,MOB
BETBOO_TR,250,TRY      ,8261883,01/01/22 19:25,01/01/22,MOB
BETBOO_TR,200,TRY      ,14473408,01/01/22 19:11,01/01/22,MOB
BETBOO_TR,870,TRY      ,11906057,01/01/22 19:32,01/01/22,MOB
BETBOO_TR,1000,TRY      ,11415064,01/01/22 19:20,01/01/22,MOB
BETBOO_TR,100,TRY      ,13717203,01/01/22 19:06,01/01/22,MOB
BETBOO_TR,80,TRY      ,8899054,01/01/22 19:31,01/01/22,MOB
BETBOO_TR,100,TRY      ,11374287,01/01/22 19:03,01/01/22,WEB
BETBOO_TR,250,TRY      ,9868686,01/01/22 19:48,01/01/22,MOB
BETBOO_TR,25,TRY      ,145103141,01/01/22 19:00,01/01/22,WEB
BETBOO_TR,700,TRY      ,9651644,01/01/22 19:13,01/01/22,WEB
BETBOO_TR,800,TRY      ,13918529,01/01/22 19:19,01/01/22,MOB
BETBOO_TR,100,TRY      ,14236137,01/01/22 19:25,01/01/22,MOB
BETBOO_TR,25,TRY      ,145103141,01/01/22 19:04,01/01/22,WEB
BETBOO_TR,1000,TRY      ,14233692,01/01/22 19:49,01/01/22,MOB
BETBOO_TR,100,TRY      ,11283683,01/01/22 19:43,01/01/22,MOB
BETBOO_TR,500,TRY      ,9999634,01/01/22 19:33,01/01/22,MOB
BETBOO_TR,400,TRY      ,13760091,01/01/22 19:08,01/01/22,MOB
BETBOO_TR,100,TRY      ,9764944,01/01/22 19:24,01/01/22,MOB
BETBOO_TR,80,TRY      ,13914726,01/01/22 19:10,01/01/22,MOB
BETBOO_TR,110,TRY      ,11511832,01/01/22 19:47,01/01/22,MOB
BETBOO_TR,70,TRY      ,14065053,01/01/22 19:01,01/01/22,WEB
BETBOO_TR,100,TRY      ,9764944,01/01/22 19:23,01/01/22,MOB
